onset	duration	trial_type
2.12	0.3	1_dot
2.81	0.33	1_dot
3.51	0.33	1_dot
4.22	0.32	1_dot
4.91	0.33	1_dot
5.62	0.32	1_dot
6.32	0.32	2_dot
7.02	0.32	2_dot
7.72	0.32	2_dot
8.42	0.32	2_dot
9.12	0.32	2_dot
9.82	0.32	2_dot
10.52	0.32	3_dot_attn
11.2065	0.0	button_press
11.22	0.32	3_dot_attn
11.9065	0.0	button_press
11.92	0.32	3_dot
12.62	0.32	3_dot
13.32	0.32	3_dot
14.02	0.32	3_dot
14.72	0.32	4_dot
15.42	0.32	4_dot
16.12	0.32	4_dot
16.82	0.32	4_dot
17.52	0.32	4_dot
18.22	0.32	4_dot
18.92	0.32	5_dot
19.62	0.32	5_dot
20.32	0.32	5_dot
21.02	0.32	5_dot
21.72	0.32	5_dot_attn
22.4076	0.0	button_press
22.42	0.32	5_dot
23.12	0.32	20_dot
23.82	0.32	20_dot
24.52	0.32	20_dot
25.24	0.3	20_dot
25.94	0.3	20_dot
26.64	0.3	20_dot
27.32	0.32	20_dot
28.04	0.3	20_dot
28.74	0.3	20_dot
29.42	0.32	20_dot
30.12	0.32	20_dot
30.82	0.32	20_dot
31.52	0.32	20_dot
32.22	0.32	20_dot
32.94	0.3	20_dot
33.64	0.3	20_dot_attn
34.3191	0.0	button_press
34.34	0.3	20_dot
35.02	0.32	20_dot
35.74	0.3	20_dot
36.42	0.32	20_dot
37.12	0.32	20_dot
37.82	0.32	20_dot
38.52	0.32	20_dot_attn
39.2183	0.0	button_press
39.22	0.32	20_dot
39.92	0.32	5_dot
40.62	0.32	5_dot
41.32	0.32	5_dot
42.02	0.32	5_dot
42.72	0.32	5_dot
43.42	0.32	5_dot
44.12	0.32	4_dot
44.82	0.32	4_dot
45.52	0.32	4_dot
46.22	0.32	4_dot_attn
46.907	0.0	button_press
46.92	0.32	4_dot
47.62	0.32	4_dot
48.32	0.32	3_dot_attn
49.0063	0.0	button_press
49.02	0.32	3_dot_attn
49.7061	0.0	button_press
49.72	0.32	3_dot
50.42	0.32	3_dot
51.12	0.32	3_dot
51.82	0.32	3_dot
52.52	0.32	2_dot
53.22	0.32	2_dot
53.92	0.32	2_dot
54.62	0.32	2_dot
55.32	0.32	2_dot_attn
55.6387	0.0	button_press
56.02	0.32	2_dot
56.72	0.32	1_dot
57.42	0.32	1_dot
58.12	0.32	1_dot
58.82	0.32	1_dot
59.52	0.32	1_dot
60.22	0.32	1_dot
60.94	0.3	20_dot
61.64	0.3	20_dot
62.34	0.3	20_dot
63.04	0.3	20_dot
63.74	0.3	20_dot
64.44	0.3	20_dot_attn
65.1165	0.0	button_press
65.14	0.3	20_dot
65.82	0.32	20_dot
66.54	0.3	20_dot
67.24	0.3	20_dot
67.94	0.3	20_dot_attn
68.6165	0.0	button_press
68.64	0.3	20_dot
69.34	0.3	20_dot
70.02	0.32	20_dot
70.74	0.3	20_dot_attn
71.4194	0.0	button_press
71.44	0.3	20_dot
72.14	0.3	20_dot
72.84	0.3	20_dot
73.54	0.3	20_dot
74.24	0.3	20_dot_attn
74.9189	0.0	button_press
74.94	0.3	20_dot
75.64	0.3	20_dot
76.34	0.3	20_dot
77.04	0.3	20_dot_attn
77.7051	0.0	button_press
77.72	0.32	1_dot_attn
78.4051	0.0	button_press
78.42	0.32	1_dot
79.12	0.32	1_dot
79.82	0.32	1_dot
80.52	0.32	1_dot
81.22	0.32	1_dot
81.92	0.32	2_dot
82.62	0.32	2_dot
83.32	0.32	2_dot
84.02	0.32	2_dot
84.72	0.32	2_dot
85.42	0.32	2_dot
86.12	0.32	3_dot
86.82	0.32	3_dot_attn
87.5063	0.0	button_press
87.52	0.32	3_dot
88.22	0.32	3_dot
88.92	0.32	3_dot
89.62	0.32	3_dot
90.32	0.32	4_dot
91.02	0.32	4_dot
91.72	0.32	4_dot
92.42	0.32	4_dot
93.12	0.32	4_dot
93.82	0.32	4_dot
94.52	0.32	5_dot_attn
94.8365	0.0	button_press
95.22	0.32	5_dot
95.92	0.32	5_dot_attn
96.6076	0.0	button_press
96.62	0.32	5_dot
97.32	0.32	5_dot
98.02	0.32	5_dot
98.73	0.3	20_dot
99.43	0.3	20_dot
100.13	0.3	20_dot
100.83	0.3	20_dot
101.53	0.3	20_dot
102.23	0.3	20_dot_attn
102.9181	0.0	button_press
102.93	0.3	20_dot
103.63	0.3	20_dot
104.33	0.3	20_dot
105.03	0.3	20_dot_attn
105.716	0.0	button_press
105.73	0.3	20_dot
106.43	0.3	20_dot
