Session,dependent variable,independent variable,coefficient,z-value,p-value,95% CI (lower),95% CI (upper)
visual,area,hemisphere,-156.374,-1.848,0.065,-322.229,9.482
,,mu_left,-118.148,-6.341,0.0,-154.666,-81.63
,,mu_right,-69.48,-3.728,0.0,-106.008,-32.953
visual,fwhm,hemisphere,-3.458,-0.68,0.497,-13.426,6.51
,,mu_left,7.267,6.489,0.0,5.072,9.461
,,mu_right,8.551,7.634,0.0,6.355,10.746
audio,area,hemisphere,26.43,4.805,0.0,15.65,37.211
,,mu_left,-5.798,-4.321,0.0,-8.428,-3.168
,,mu_right,-11.218,-8.791,0.0,-13.719,-8.717
audio,fwhm,hemisphere,-3.87,-0.54,0.589,-17.916,10.176
,,mu_left,11.44,6.58,0.0,8.032,14.848
,,mu_right,13.388,8.083,0.0,10.142,16.634
