Subject_ID,group,gender,age,num_visual_runs,num_audio_runs,num_digit_runs,num_spoken_runs,visual_runs,audio_runs,digit_runs,spoken_runs,anat_dir,inflated_mesh,pial_mesh,white_mesh,midthickness_mesh
001,adult,F,27.5,8,8,8,8,12345678,12345678,12345678,12345678,/ses-visual/,yes,yes,yes,yes
002,adult,M,26.0,8,8,8,8,12345678,12345678,12345678,12345678,/ses-audio/,yes,yes,yes,yes
003,adult,M,22.0,8,8,8,8,12345678,12345678,12345678,12345678,/ses-visual/,yes,yes,yes,yes
004,adult,F,30.5,8,8,8,8,12345678,12345678,12345678,12345678,/,yes,yes,yes,yes
005,adult,F,24.5,8,8,8,8,12345678,12345678,12345678,12345678,/ses-audio/,yes,yes,yes,yes
006,adult,M,20.0,8,8,8,8,12345678,12345678,12345678,12345678,/ses-audio/,yes,yes,yes,yes
007,adult,F,20.0,8,8,8,8,12345678,12345678,12345678,12345678,/ses-visual/,yes,yes,yes,yes
008,adult,M,27.0,8,8,8,8,12345678,12345678,12345678,12345678,/ses-visual/,yes,yes,yes,yes
009,adult,F,22.0,8,8,8,8,12345678,12345678,12345678,12345678,/ses-audio/,yes,yes,yes,yes
010,adult,M,22.0,8,8,8,8,12345678,12345678,12345678,12345678,/ses-visual/,yes,yes,yes,yes
011,adult,F,34.0,8,8,8,8,12345678,12345678,12345678,12345678,/,yes,yes,yes,yes
012,adult,M,33.5,8,8,8,8,12345678,12345678,12345678,12345678,/ses-audio/,yes,yes,yes,yes
101,child,F,12.0,8,4,7,2,12345678,1235,1234568,12,/,yes,yes,yes,yes
102,child,M,12.0,8,8,7,8,12345678,12345678,1235678,12345678,/ses-visual/,yes,yes,yes,yes
103,child,F,12.0,7,8,0,0,1245678,12345678,,,/ses-visual/,yes,yes,yes,yes
104,child,M,12.0,8,8,7,8,12345678,12345678,1234678,12345678,/ses-visual/,yes,yes,yes,yes
105,child,F,12.0,8,8,8,8,12345678,12345678,12345678,12345678,/ses-visual/,yes,yes,yes,yes
106,child,M,12.0,8,3,8,2,12345678,123,12345678,12,/,yes,yes,yes,yes
107,child,F,12.0,3,8,7,8,123,12345678,1234568,12345678,/ses-visual/,yes,yes,yes,yes
108,child,M,12.0,7,4,0,1,1234567,1235,,1,/ses-visual/,yes,yes,yes,yes
109,child,F,12.0,1,8,1,0,1,12345678,1,,/,yes,yes,yes,yes
110,child,F,12.0,5,8,0,0,12458,12345678,,,/,yes,yes,yes,yes
111,child,M,12.0,8,8,0,0,12345678,12345678,,,/ses-visual/,yes,yes,yes,yes
112,child,M,12.0,6,8,6,8,123456,12345678,123456,12345678,/ses-audio/,yes,yes,yes,yes
113,child,F,12.0,8,8,0,0,12345678,12345678,,,/,yes,yes,yes,yes
114,child,M,12.0,8,8,0,0,12345678,12345678,,,/ses-audio/,yes,yes,yes,yes
116,child,M,11.0,8,8,7,8,12345678,12345678,1345678,12345678,/ses-audio/,yes,yes,yes,yes
